Note: modified from pivot table because a few bands existed under both P and 1+ categories. P is retained,,,,,,,,,,CURRENT VERSION: 12/07/2025,,,,,,,
Age,Band,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P,162-87375,,,,,,,,,,1,,,,,,
P,162-87376,,,,,,,,,,1,,,,,,
P,162-87377,,,,,,,,,,1,,,,,,
P,162-87378,,,,,,,,,,1,,,,,,
P,162-87379,,,,,,,,,,1,,,,,,
P,162-87380,,,,,,,,,,1,,,,,,
P,162-87381,,,,,,,,,,1,,,,,,
P,162-87382,,,,,,,,,,1,,,,,,
P,162-87383,,,,,,,,,,1,,,,,,
P,162-87384,,,,,,,,,,1,,,,,,
P,162-87385,,,,,,,,,,1,,,,,,
P,162-87386,,,,,,,,,,1,,,,,,
P,162-87387,,,,,,,,,,1,,,,,,
P,162-87388,,,,,,,,,,1,,,,,,
P,162-87389,,,,,,,,,,1,,,,,,
P,162-87390,,,,,,,,,,1,,,,,,
P,162-87391,,,,,,,,,,1,,,,,,
P,162-87392,,,,,,,,,,1,,,,,,
P,162-87393,,,,,,,,,,1,,,,,,
P,162-87394,,,,,,,,,,1,,,,,,
P,162-87395,,,,,,,,,,1,,,,,,
P,162-87396,,,,,,,,,,1,,,,,,
P,162-87397,,,,,,,,,,1,,,,,,
P,162-87398,,,,,,,,,,1,,,,,,
P,162-87399,,,,,,,,,,1,,,,,,
P,162-87400,,,,,,,,,,1,,,,,,
P,162-87401,,,,,,,,,,1,,,,,,
P,162-87402,,,,,,,,,,1,,,,,,
P,162-87403,,,,,,,,,,1,,,,,,
P,162-87404,,,,,,,,,,1,,,,,,
1+,162-87405,,,,,,,,,,1,,,,,,
P,162-87406,,,,,,,,,,1,,,,,,
P,162-87407,,,,,,,,,,1,,,,,,
P,162-87408,,,,,,,,,,1,,,,,,
P,162-87409,,,,,,,,,,1,,,,,,
P,162-87410,,,,,,,,,,1,,,,,,
P,162-87411,,,,,,,,,,1,,,,,,
P,162-87412,,,,,,,,,,1,,,,,,
1+,162-87413,,,,,,,,,,1,,,,,,
1+,162-87414,,,,,,,,,,1,,,,,,
P,162-87415,,,,,,,,,,1,,,,,,
P,162-87416,,,,,,,,,,1,,,,,,
P,162-87417,,,,,,,,,,1,,,,,,
1+,162-87418,,,,,,,,,,1,,,,,,
